composition_type_id,position,coach_type_id
EXAMPLE-REF-FAM-7,1,Bmpz (74)
EXAMPLE-REF-FAM-7,2,Bvcmz (60)
EXAMPLE-REF-FAM-7,3,EXAMPLE-Bcfam
EXAMPLE-REF-FAM-7,4,EXAMPLE-Bcfam
EXAMPLE-REF-FAM-7,5,Bvcmz (60)
EXAMPLE-REF-FAM-7,6,WLABm (36)
EXAMPLE-REF-FAM-7,7,Bmpz (74)
Norwegian-7,1,B5-7
Norwegian-7,2,B5-3
Norwegian-7,3,B5-3
Norwegian-7,4,FR5-1
Norwegian-7,5,BC5-3
Norwegian-7,6,WLAB-2
Norwegian-7,7,WLAB-2
NOX-14,1,NOX-1
NOX-14,2,NOX-1
NOX-14,3,NOX-1
NOX-14,4,NOX-1
NOX-14,5,NOX-1
NOX-14,6,NOX-1
NOX-14,7,NOX-1
NOX-14,8,NOX-1
NOX-14,9,NOX-1
NOX-14,10,NOX-1
NOX-14,11,NOX-1
NOX-14,12,NOX-1
NOX-14,13,NOX-2
NOX-14,14,NOX-2
LR-7,1,LR-1
LR-7,2,LR-1
LR-7,3,LR-1
LR-7,4,LR-1
LR-7,5,LR-2
LR-7,6,LR-3
LR-7,7,LR-3
LR-14,1,LR-1
LR-14,2,LR-1
LR-14,3,LR-1
LR-14,4,LR-1
LR-14,5,LR-2
LR-14,6,LR-3
LR-14,7,LR-3
LR-14,8,LR-1
LR-14,9,LR-1
LR-14,10,LR-1
LR-14,11,LR-1
LR-14,12,LR-2
LR-14,13,LR-3
LR-14,14,LR-3
