composition_type_id,position,coach_type_id
REF-BUD-6,1,Bmpz (74)
REF-BUD-6,2,Bvcmz (60)
REF-BUD-6,3,Bvcmz (60)
REF-BUD-6,4,Bmpz (74)
REF-BUD-6,5,Bvcmz (60)
REF-BUD-6,6,Bvcmz (60)
REF-COUCH-6,1,Bc (36)
REF-COUCH-6,2,Bc (36)
REF-COUCH-6,3,Bc (36)
REF-COUCH-6,4,Bc (36)
REF-COUCH-6,5,Bc (36)
REF-COUCH-6,6,WLABm (36)
REF-BAL-9,1,Bpm (78)
REF-BAL-9,2,Bpm (78)
REF-BAL-9,3,Bmz
REF-BAL-9,4,Bmz
REF-BAL-9,5,Apm
REF-BAL-9,6,Bcmz (54)
REF-BAL-9,7,Bvcmbz
REF-BAL-9,8,WLBmz (DD)
REF-BAL-9,9,WLABmz (DD)
REF-COUCH-10,1,A10tuh
REF-COUCH-10,2,B8c8ux
REF-COUCH-10,3,A9c9ux
REF-COUCH-10,4,B10c10ux
REF-COUCH-10,5,B10c10ux
REF-COUCH-10,6,B10c10ux
REF-COUCH-10,7,B10c10ux
REF-COUCH-10,8,A9c9ux
REF-COUCH-10,9,B10c10ux
REF-COUCH-10,10,B10c10ux
REF-BUD-12,1,B (78)
REF-BUD-12,2,B (78)
REF-BUD-12,3,B (78)
REF-BUD-12,4,B (78)
REF-BUD-12,5,Bc (36)
REF-BUD-12,6,Bc (36)
REF-BUD-12,7,Bc (36)
REF-BUD-12,8,Bc (36)
REF-BUD-12,9,Bc (36)
REF-BUD-12,10,WLABm (36)
REF-BUD-12,11,WLABm (36)
REF-BUD-12,12,WLABm (36)
REF-PREM-12,1,WLABee
REF-PREM-12,2,WLABee
REF-PREM-12,3,Bvcmz (50)
REF-PREM-12,4,Bvcmz (50)
REF-PREM-12,5,Bvcmz (50)
REF-PREM-12,6,Bvcmz (50)
REF-PREM-12,7,Bvcmz (50)
REF-PREM-12,8,Bvcmz (50)
REF-PREM-12,9,Bvcmz (50)
REF-PREM-12,10,Bvcmz (50)
REF-PREM-12,11,ARkimmbz
REF-PREM-12,12,Am
NEW-BAL-7,1,Bfmpz
NEW-BAL-7,2,ABbmpvz
NEW-BAL-7,3,Bcmz_5291
NEW-BAL-7,4,Bcmz_5291
NEW-BAL-7,5,Bcmz_5291
NEW-BAL-7,6,WLAmz_7091
NEW-BAL-7,7,WLAmz_7091
NEW-BAL-14,1,Bfmpz
NEW-BAL-14,2,ABbmpvz
NEW-BAL-14,3,Bcmz_5291
NEW-BAL-14,4,Bcmz_5291
NEW-BAL-14,5,Bcmz_5291
NEW-BAL-14,6,WLAmz_7091
NEW-BAL-14,7,WLAmz_7091
NEW-BAL-14,8,WLAmz_7091
NEW-BAL-14,9,WLAmz_7091
NEW-BAL-14,10,Bcmz_5291
NEW-BAL-14,11,Bcmz_5291
NEW-BAL-14,12,Bcmz_5291
NEW-BAL-14,13,ABbmpvz
NEW-BAL-14,14,Bfmpz
REF-NOR-7,1,B5-7
REF-NOR-7,2,B5-3
REF-NOR-7,3,B5-3
REF-NOR-7,4,FR5-1
REF-NOR-7,5,BC5-3
REF-NOR-7,6,WLAB-2
REF-NOR-7,7,WLAB-2
REF-ROOM-14,1,NOX-36
REF-ROOM-14,2,NOX-36
REF-ROOM-14,3,NOX-36
REF-ROOM-14,4,NOX-36
REF-ROOM-14,5,NOX-36
REF-ROOM-14,6,NOX-36
REF-ROOM-14,7,NOX-36
REF-ROOM-14,8,NOX-36
REF-ROOM-14,9,NOX-36
REF-ROOM-14,10,NOX-36
REF-ROOM-14,11,NOX-36
REF-ROOM-14,12,NOX-36
REF-ROOM-14,13,NOX-36
REF-ROOM-14,14,NOX-36
REF-POD-7,1,LR-SEATPOD-66
REF-POD-7,2,LR-SEATPOD-66
REF-POD-7,3,LR-SEATPOD-66
REF-POD-7,4,LR-SEATPOD-66
REF-POD-7,5,LR-HOTELPOD-31
REF-POD-7,6,LR-HOTELPOD-42
REF-POD-7,7,LR-HOTELPOD-42
REF-POD-14,1,LR-SEATPOD-66
REF-POD-14,2,LR-SEATPOD-66
REF-POD-14,3,LR-SEATPOD-66
REF-POD-14,4,LR-SEATPOD-66
REF-POD-14,5,LR-HOTELPOD-31
REF-POD-14,6,LR-HOTELPOD-42
REF-POD-14,7,LR-HOTELPOD-42
REF-POD-14,8,LR-SEATPOD-66
REF-POD-14,9,LR-SEATPOD-66
REF-POD-14,10,LR-SEATPOD-66
REF-POD-14,11,LR-SEATPOD-66
REF-POD-14,12,LR-HOTELPOD-31
REF-POD-14,13,LR-HOTELPOD-42
REF-POD-14,14,LR-HOTELPOD-42
