start_DS100,start_name,start_region,end_DS100,end_name,end_region,axis,distance_category,air_distance_km,DS100,start_station_check,start_longitude,start_latitude,start_region_check,DS100_end,end_station_check,end_longitude,end_latitude,end_region_check,axis_corrected
TSG,Schwäbisch Gmünd,South,TDIH,Distelhausen,Central,Regional,short,88.97,TSG,Schwäbisch Gmünd,9.787795,48.801011,South,TDIH,Distelhausen,9.683508,49.598233,Central,N-S
BLS,Berlin Hbf,North,LBAS,Barleber See,Central,Regional,short,122.36,BLS,Berlin Hbf,13.369545,52.525592,North,LBAS,Barleber See,11.640852,52.214328,Central,E-W
TPH,Pforzheim Hbf,South,HN,Northeim(Han),Central,N-S,medium,325.36,TPH,Pforzheim Hbf,8.703099,48.894152,South,HN,Northeim(Han),9.986618,51.703139,Central,N-S
SSWD,St Wendel,West,USE,Seebach(Mühlhausen),Central,NE-SW,medium,304.31,SSWD,St Wendel,7.165293,49.466952,West,USE,Seebach(Mühlhausen),10.521193,51.170012,Central,NE-SW
UCB,Camburg(Saale),Central,TBLF,Blaufelden,Central,NE-SW,medium,231.0,UCB,Camburg(Saale),11.70468,51.050857,Central,TBLF,Blaufelden,9.96768,49.296236,Central,NW-SE
ESOT,Soest,Central,AOPD,Oppendorf Bahnhof,North,NE-SW,medium,336.42,ESOT,Soest,8.104589,51.578419,Central,AOPD,Oppendorf Bahnhof,10.208319,54.325961,North,NE-SW
RVL,Villingen(Schwarzw),South,AHM,Husum,North,N-S,long,714.4,RVL,Villingen(Schwarzw),8.465261,48.058022,South,AHM,Husum,9.055026,54.472271,North,N-S
NSTN,Steinach(b Rothenburg ob der Tauber),Central,NCH,Cham(Oberpf),East,E-W,short,174.58,NSTN,Steinach(b Rothenburg ob der Tauber),10.273535,49.453218,Central,NCH,Cham(Oberpf),12.656832,49.221869,East,E-W
HOY,Bad Oeynhausen,Central,KST,Stolberg(Rheinl)Hbf,West,NE-SW,medium,237.64,HOY,Bad Oeynhausen,8.796523,52.205398,Central,KST,Stolberg(Rheinl)Hbf,6.217478,50.79448,West,NW-SE
ABCH,Büchen,North,MURB,Umrathshausen Bf,East,N-S,long,640.18,ABCH,Büchen,10.623298,53.474972,North,MURB,Umrathshausen Bf,12.320636,47.818772,East,N-S
MKFB,Kaufbeuren,South,FMTN,Montabaur,West,NW-SE,medium,350.95,MKFB,Kaufbeuren,10.629496,47.875432,South,FMTN,Montabaur,7.825333,50.444834,West,NW-SE
SHFD,Hofeld,West,BDF,Drahnsdorf,East,NE-SW,long,524.93,SHFD,Hofeld,7.159755,49.511922,West,BDF,Drahnsdorf,13.58125,51.915391,East,E-W
MIH,Ingolstadt Hbf,South,WHEG,Heiligengrabe,North,N-S,medium,493.89,MIH,Ingolstadt Hbf,11.437337,48.744541,South,WHEG,Heiligengrabe,12.340537,53.14968,North,N-S
TALL,Allmendingen,South,BWA,Walddrehna,East,NE-SW,medium,473.22,TALL,Allmendingen,9.722382,48.327734,South,BWA,Walddrehna,13.617249,51.772723,East,NE-SW
AF,Flensburg,North,UGB,Gehlberg,Central,N-S,medium,463.57,AF,Flensburg,9.436526,54.774039,North,UGB,Gehlberg,10.769351,50.683768,Central,N-S
NPA,Passau Hbf,East,AN,Neumünster,North,N-S,long,657.43,NPA,Passau Hbf,13.450776,48.573632,East,AN,Neumünster,9.979816,54.075752,North,NW-SE
FSBN,Schimborn,Central,HBGD,Burgdorf,Central,N-S,medium,271.85,FSBN,Schimborn,9.186811,50.057764,Central,HBGD,Burgdorf,10.002837,52.448708,Central,N-S
ABCH,Büchen,North,WSE,Sternfeld,North,E-W,short,171.03,ABCH,Büchen,10.623298,53.474972,North,WSE,Sternfeld,13.15042,53.824775,North,E-W
KKDT,Köln Messe/Deutz Gl.11-12,West,WBRH,Brahlstorf,North,NE-SW,medium,382.28,KKDT,Köln Messe/Deutz Gl.11-12,6.974067,50.941721,West,WBRH,Brahlstorf,10.951992,53.364421,North,NE-SW
NBA,Bamberg,Central,RLSH,Lambsheim,Central,E-W,short,193.01,NBA,Bamberg,10.899489,49.900759,Central,RLSH,Lambsheim,8.283476,49.511863,Central,E-W
FO,Offenbach(Main)Hbf,Central,MTHB,Türkheim(Bay)Bf,South,NW-SE,medium,265.38,FO,Offenbach(Main)Hbf,8.760743,50.099264,Central,MTHB,Türkheim(Bay)Bf,10.617439,48.04569,South,NE-SW
MA,Augsburg Hbf,South,ASID,Sierksdorf,North,N-S,long,634.21,MA,Augsburg Hbf,10.88557,48.365441,South,ASID,Sierksdorf,10.769108,54.068523,North,N-S
HZWI,Bad Zwischenahn,North,ULIH,Lichtenhain(a d Bergbahn),Central,NW-SE,medium,359.22,HZWI,Bad Zwischenahn,8.003123,53.182547,North,ULIH,Lichtenhain(a d Bergbahn),11.132371,50.592084,Central,NE-SW
RIM,Immendingen,South,BEBD,Berlin Eichborndamm,North,NE-SW,long,610.25,RIM,Immendingen,8.729536,47.936007,South,BEBD,Berlin Eichborndamm,13.316835,52.577722,North,NE-SW
HO,Osnabrück Hbf,Central,RB,Basel Bad Bf,West,N-S,long,524.24,HO,Osnabrück Hbf,8.061781,52.272851,Central,RB,Basel Bad Bf,7.607805,47.567288,West,N-S
