route_name,start_stop_name,start_ds100,end_stop_name,end_ds100,composition_id,n_coaches,weight_t,length_m,v_max_kmh,energy_kwh,distance_km,travel_time_min
1856 = 1857,Augsburg Hbf,MA,Hannover Hbf,HH,REF-BUD-6,6,323.3,158.4,200,2301,567.7,345
1856 = 1857,Augsburg Hbf,MA,Hannover Hbf,HH,REF-COUCH-6,6,313.0,158.4,200,2274,567.7,345
1856 = 1857,Augsburg Hbf,MA,Hannover Hbf,HH,REF-BAL-9,9,501.4,237.6,200,2979,567.6,346
1856 = 1857,Augsburg Hbf,MA,Hannover Hbf,HH,REF-COUCH-10,10,532.2,264.0,200,3098,572.8,353
1856 = 1857,Augsburg Hbf,MA,Hannover Hbf,HH,REF-BUD-12,12,636.0,316.8,200,3485,572.9,354
1856 = 1857,Augsburg Hbf,MA,Hannover Hbf,HH,REF-PREM-12,12,631.6,316.8,200,3471,572.9,354
1856 = 1857,Augsburg Hbf,MA,Hannover Hbf,HH,NEW-BAL-7,7,313.8,185.7,230,2381,567.7,345
1856 = 1857,Augsburg Hbf,MA,Hannover Hbf,HH,NEW-BAL-14,14,627.6,371.4,230,3620,572.9,354
1856 = 1857,Augsburg Hbf,MA,München-Pasing,MP,REF-BUD-6,6,323.3,158.4,200,269,53.1,32
1856 = 1857,Augsburg Hbf,MA,München-Pasing,MP,REF-COUCH-6,6,313.0,158.4,200,265,53.1,32
1856 = 1857,Augsburg Hbf,MA,München-Pasing,MP,REF-BAL-9,9,501.4,237.6,200,356,53.1,33
1856 = 1857,Augsburg Hbf,MA,München-Pasing,MP,REF-COUCH-10,10,532.2,264.0,200,375,53.1,33
1856 = 1857,Augsburg Hbf,MA,München-Pasing,MP,REF-BUD-12,12,636.0,316.8,200,427,53.1,33
1856 = 1857,Augsburg Hbf,MA,München-Pasing,MP,REF-PREM-12,12,631.6,316.8,200,425,53.1,33
1856 = 1857,Augsburg Hbf,MA,München-Pasing,MP,NEW-BAL-7,7,313.8,185.7,230,276,53.1,32
1856 = 1857,Augsburg Hbf,MA,München-Pasing,MP,NEW-BAL-14,14,627.6,371.4,230,445,54.6,34
1856 = 1857,Hannover Hbf,HH,Hamburg Hbf,AH,REF-BUD-6,6,323.3,158.4,200,718,178.3,97
1856 = 1857,Hannover Hbf,HH,Hamburg Hbf,AH,REF-COUCH-6,6,313.0,158.4,200,711,178.3,97
1856 = 1857,Hannover Hbf,HH,Hamburg Hbf,AH,REF-BAL-9,9,501.4,237.6,200,909,178.3,98
1856 = 1857,Hannover Hbf,HH,Hamburg Hbf,AH,REF-COUCH-10,10,532.2,264.0,200,952,178.3,99
1856 = 1857,Hannover Hbf,HH,Hamburg Hbf,AH,REF-BUD-12,12,636.0,316.8,200,1069,178.3,99
1856 = 1857,Hannover Hbf,HH,Hamburg Hbf,AH,REF-PREM-12,12,631.6,316.8,200,1065,178.3,99
1856 = 1857,Hannover Hbf,HH,Hamburg Hbf,AH,NEW-BAL-7,7,313.8,185.7,230,755,178.3,97
1856 = 1857,Hannover Hbf,HH,Hamburg Hbf,AH,NEW-BAL-14,14,627.6,371.4,230,1127,178.3,99
1856 = 1857,München Ost,MOP,Augsburg Hbf,MA,REF-BUD-6,6,323.3,158.4,200,286,65.2,42
1856 = 1857,München Ost,MOP,Augsburg Hbf,MA,REF-COUCH-6,6,313.0,158.4,200,282,65.2,42
1856 = 1857,München Ost,MOP,Augsburg Hbf,MA,REF-BAL-9,9,501.4,237.6,200,378,65.2,42
1856 = 1857,München Ost,MOP,Augsburg Hbf,MA,REF-COUCH-10,10,532.2,264.0,200,397,65.2,43
1856 = 1857,München Ost,MOP,Augsburg Hbf,MA,REF-BUD-12,12,636.0,316.8,200,448,65.2,43
1856 = 1857,München Ost,MOP,Augsburg Hbf,MA,REF-PREM-12,12,631.6,316.8,200,446,65.2,43
1856 = 1857,München Ost,MOP,Augsburg Hbf,MA,NEW-BAL-7,7,313.8,185.7,230,292,65.2,42
1856 = 1857,München Ost,MOP,Augsburg Hbf,MA,NEW-BAL-14,14,627.6,371.4,230,464,66.9,45
1858 = 1859,Hannover Hbf,HH,Lüneburg,ALBG,REF-BUD-6,6,323.3,158.4,200,500,126.2,68
1858 = 1859,Hannover Hbf,HH,Lüneburg,ALBG,REF-COUCH-6,6,313.0,158.4,200,496,126.2,68
1858 = 1859,Hannover Hbf,HH,Lüneburg,ALBG,REF-BAL-9,9,501.4,237.6,200,611,128.7,69
1858 = 1859,Hannover Hbf,HH,Lüneburg,ALBG,REF-COUCH-10,10,532.2,264.0,200,642,128.7,69
1858 = 1859,Hannover Hbf,HH,Lüneburg,ALBG,REF-BUD-12,12,636.0,316.8,200,719,128.7,69
1858 = 1859,Hannover Hbf,HH,Lüneburg,ALBG,REF-PREM-12,12,631.6,316.8,200,717,128.7,69
1858 = 1859,Hannover Hbf,HH,Lüneburg,ALBG,NEW-BAL-7,7,313.8,185.7,230,528,126.2,68
1858 = 1859,Hannover Hbf,HH,Lüneburg,ALBG,NEW-BAL-14,14,627.6,371.4,230,762,128.7,69
