route_name,start_ds100,end_ds100,composition_id,error
1856 = 1857,AH,AA,REF-BUD-6,Es konnte keine Route von Hamburg Hbf (AH) nach Hamburg-Altona (AA) gefunden werden.
1856 = 1857,AH,AA,REF-COUCH-6,Es konnte keine Route von Hamburg Hbf (AH) nach Hamburg-Altona (AA) gefunden werden.
1856 = 1857,AH,AA,REF-BAL-9,Es konnte keine Route von Hamburg Hbf (AH) nach Hamburg-Altona (AA) gefunden werden.
1856 = 1857,AH,AA,REF-COUCH-10,Es konnte keine Route von Hamburg Hbf (AH) nach Hamburg-Altona (AA) gefunden werden.
1856 = 1857,AH,AA,REF-BUD-12,Es konnte keine Route von Hamburg Hbf (AH) nach Hamburg-Altona (AA) gefunden werden.
1856 = 1857,AH,AA,REF-PREM-12,Es konnte keine Route von Hamburg Hbf (AH) nach Hamburg-Altona (AA) gefunden werden.
1856 = 1857,AH,AA,NEW-BAL-7,Es konnte keine Route von Hamburg Hbf (AH) nach Hamburg-Altona (AA) gefunden werden.
1856 = 1857,AH,AA,NEW-BAL-14,Es konnte keine Route von Hamburg Hbf (AH) nach Hamburg-Altona (AA) gefunden werden.
1856 = 1857,MS,MOP,REF-BUD-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
1856 = 1857,MS,MOP,REF-COUCH-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
1856 = 1857,MS,MOP,REF-BAL-9,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
1856 = 1857,MS,MOP,REF-COUCH-10,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
1856 = 1857,MS,MOP,REF-BUD-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
1856 = 1857,MS,MOP,REF-PREM-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
1856 = 1857,MS,MOP,NEW-BAL-7,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
1856 = 1857,MS,MOP,NEW-BAL-14,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
1856 = 1857,MP,MS,REF-BUD-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
1856 = 1857,MP,MS,REF-COUCH-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
1856 = 1857,MP,MS,REF-BAL-9,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
1856 = 1857,MP,MS,REF-COUCH-10,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
1856 = 1857,MP,MS,REF-BUD-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
1856 = 1857,MP,MS,REF-PREM-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
1856 = 1857,MP,MS,NEW-BAL-7,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
1856 = 1857,MP,MS,NEW-BAL-14,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
1858 = 1859,RF,RK,REF-BUD-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
1858 = 1859,RF,RK,REF-COUCH-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
1858 = 1859,RF,RK,REF-BAL-9,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
1858 = 1859,RF,RK,REF-COUCH-10,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
1858 = 1859,RF,RK,REF-BUD-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
