country_code,derivation_mode,working_price_eur_kwh,vat_recoverable
AT,network_override,0.177,True
BE,benchmark,0.1258,True
BG,benchmark,0.1266,True
CH,im_tariff,0.083,True
CZ,benchmark,0.1658,True
DE,network_override,0.2065,True
DK,benchmark,0.1711,False
EE,benchmark,0.1165,True
ES,benchmark,0.1112,True
FI,benchmark,0.051,True
FR,network_override,0.1012,True
GR,benchmark,0.1544,True
HR,im_tariff,0.0958,True
HU,im_tariff,0.1702,True
IE,benchmark,0.2063,True
IT,benchmark,0.1635,True
LT,benchmark,0.121,True
LU,benchmark,0.1155,True
LV,benchmark,0.1021,True
NL,benchmark,0.1182,True
NO,benchmark,0.0569,True
PL,benchmark,0.1623,True
PT,benchmark,0.1055,True
RO,benchmark,0.1577,True
SE,im_tariff,0.0639,True
SI,benchmark,0.1347,True
SK,benchmark,0.1719,True
UK,im_tariff,0.2862,True
