country_code,parameter,value,unit,status,source_id,locator,currency,basis_year,note,low,high
AT,eurostat_energy_supply,0.1112,EUR/kWh,benchmark,EUROSTAT-NRG-PC-205-C,band IE 2025,EUR,2025,"price component, band IE",,
AT,eurostat_network,0.0292,EUR/kWh,benchmark,EUROSTAT-NRG-PC-205-C,band IE 2025,EUR,2025,"price component, band IE",,
AT,eurostat_vat,0.0322,EUR/kWh,benchmark,EUROSTAT-NRG-PC-205-C,band IE 2025,EUR,2025,"price component, band IE",,
AT,eurostat_renewable,0.0047,EUR/kWh,benchmark,EUROSTAT-NRG-PC-205-C,band IE 2025,EUR,2025,"price component, band IE",,
AT,eurostat_capacity,0.0,EUR/kWh,benchmark,EUROSTAT-NRG-PC-205-C,band IE 2025,EUR,2025,"price component, band IE",,
AT,eurostat_environmental,0.0135,EUR/kWh,benchmark,EUROSTAT-NRG-PC-205-C,band IE 2025,EUR,2025,"price component, band IE",,
AT,eurostat_nuclear,0.0,EUR/kWh,benchmark,EUROSTAT-NRG-PC-205-C,band IE 2025,EUR,2025,"price component, band IE",,
AT,eurostat_other,0.0024,EUR/kWh,benchmark,EUROSTAT-NRG-PC-205-C,band IE 2025,EUR,2025,"price component, band IE",,
AT,network_override,0.04367,EUR/kWh,sourced,AT-SNNB-2026,Tab.59 p.114,EUR,2026,Bahnstromnetz Niedertarif 22:00-06:00 (43.67 EUR/MWh); Hochtarif 52.40,,
AT,rail_electricity_tax,0.015,EUR/kWh,sourced,APS-STROMSTEUER,EU comparison chart,EUR,2016,"Elektrizitaetsabgabe full rate, no rail carve-out; the 2022-2024 reduction to 1 EUR/MWh expired 31 Dec 2024. Corroborated by CE-DELFT-4K83 at 13.79 PPS.",,
AT,working_price,0.177,EUR/kWh,derived,EUROSTAT-NRG-PC-205-C,band IE 2025,EUR,2025,sum(non-VAT components) - environmental + rail tax,,
BE,eurostat_energy_supply,0.0968,EUR/kWh,benchmark,EUROSTAT-NRG-PC-205-C,band IE 2025,EUR,2025,"price component, band IE",,
BE,eurostat_network,0.0169,EUR/kWh,benchmark,EUROSTAT-NRG-PC-205-C,band IE 2025,EUR,2025,"price component, band IE",,
BE,eurostat_vat,0.0279,EUR/kWh,benchmark,EUROSTAT-NRG-PC-205-C,band IE 2025,EUR,2025,"price component, band IE",,
BE,eurostat_renewable,0.0113,EUR/kWh,benchmark,EUROSTAT-NRG-PC-205-C,band IE 2025,EUR,2025,"price component, band IE",,
BE,eurostat_capacity,0.0008,EUR/kWh,benchmark,EUROSTAT-NRG-PC-205-C,band IE 2025,EUR,2025,"price component, band IE",,
BE,eurostat_environmental,0.0072,EUR/kWh,benchmark,EUROSTAT-NRG-PC-205-C,band IE 2025,EUR,2025,"price component, band IE",,
BE,eurostat_nuclear,0.0,EUR/kWh,benchmark,EUROSTAT-NRG-PC-205-C,band IE 2025,EUR,2025,"price component, band IE",,
BE,eurostat_other,0.0,EUR/kWh,benchmark,EUROSTAT-NRG-PC-205-C,band IE 2025,EUR,2025,"price component, band IE",,
BE,rail_electricity_tax,0.0,EUR/kWh,not_levied,CE-DELFT-4K83,Rail_Energy taxes_level,EUR,2016,rail traction exempt or not levied,,
BE,working_price,0.1258,EUR/kWh,derived,EUROSTAT-NRG-PC-205-C,band IE 2025,EUR,2025,sum(non-VAT components) - environmental + rail tax,,
BG,eurostat_energy_supply,0.1108,EUR/kWh,benchmark,EUROSTAT-NRG-PC-205-C,band IE 2025,EUR,2025,"price component, band IE",,
BG,eurostat_network,0.0219,EUR/kWh,benchmark,EUROSTAT-NRG-PC-205-C,band IE 2025,EUR,2025,"price component, band IE",,
BG,eurostat_vat,0.0251,EUR/kWh,benchmark,EUROSTAT-NRG-PC-205-C,band IE 2025,EUR,2025,"price component, band IE",,
BG,eurostat_renewable,0.0,EUR/kWh,benchmark,EUROSTAT-NRG-PC-205-C,band IE 2025,EUR,2025,"price component, band IE",,
BG,eurostat_capacity,0.0,EUR/kWh,benchmark,EUROSTAT-NRG-PC-205-C,band IE 2025,EUR,2025,"price component, band IE",,
BG,eurostat_environmental,0.001,EUR/kWh,benchmark,EUROSTAT-NRG-PC-205-C,band IE 2025,EUR,2025,"price component, band IE",,
BG,eurostat_nuclear,0.0,EUR/kWh,benchmark,EUROSTAT-NRG-PC-205-C,band IE 2025,EUR,2025,"price component, band IE",,
BG,eurostat_other,-0.0082,EUR/kWh,benchmark,EUROSTAT-NRG-PC-205-C,band IE 2025,EUR,2025,"price component, band IE",,
BG,rail_electricity_tax,0.002145,EUR/kWh,sourced,CE-DELFT-4K83,Rail_Energy taxes_level,EUR,2016,PPS-adjusted; nominal differs by the country price level,,
BG,working_price,0.1266,EUR/kWh,derived,EUROSTAT-NRG-PC-205-C,band IE 2025,EUR,2025,sum(non-VAT components) - environmental + rail tax,,
CH,im_tariff,0.078,CHF/kWh,sourced,CH-NZV,Art.20a transitional,CHF,2027,"22:00-06:00 rate, -40% on the 0.13 base; all-in, no separate excise",,
CH,working_price,0.083,EUR/kWh,derived,CH-NZV,Art.20a transitional,EUR,2027,0.078 CHF converted at 1.064 EUR/CHF (ECB-FX),,
CZ,eurostat_energy_supply,0.1114,EUR/kWh,benchmark,EUROSTAT-NRG-PC-205-C,band IE 2025,EUR,2025,"price component, band IE",,
CZ,eurostat_network,0.0414,EUR/kWh,benchmark,EUROSTAT-NRG-PC-205-C,band IE 2025,EUR,2025,"price component, band IE",,
CZ,eurostat_vat,0.0351,EUR/kWh,benchmark,EUROSTAT-NRG-PC-205-C,band IE 2025,EUR,2025,"price component, band IE",,
CZ,eurostat_renewable,0.0129,EUR/kWh,benchmark,EUROSTAT-NRG-PC-205-C,band IE 2025,EUR,2025,"price component, band IE",,
CZ,eurostat_capacity,0.0,EUR/kWh,benchmark,EUROSTAT-NRG-PC-205-C,band IE 2025,EUR,2025,"price component, band IE",,
CZ,eurostat_environmental,0.0012,EUR/kWh,benchmark,EUROSTAT-NRG-PC-205-C,band IE 2025,EUR,2025,"price component, band IE",,
CZ,eurostat_nuclear,0.0,EUR/kWh,benchmark,EUROSTAT-NRG-PC-205-C,band IE 2025,EUR,2025,"price component, band IE",,
