country_code,scope,labour_index,shunting_im_eur_event,shunting_allin_eur_event,parking_basis,parking_free_hours,parking_eur_event_ref,turnaround_eur
AT,full,1.25,99.25,99.25,per_metre_day,0.0,45.0,243.5
BE,track,1.25,39.0,276.5,per_event,0.0,0.0,553.01
BG,track,0.75,2.2,144.7,per_metre_day,0.0,60.0,349.4
CH,track,1.25,10.0,247.5,per_metre_day,0.0,60.0,555.0
CZ,track,1.0,10.0,200.0,per_metre_day,0.0,60.0,460.0
DE,track,1.25,10.8,248.3,per_hour,0.0,72.24,568.84
DK,track,1.25,0.0,237.5,per_event,0.0,0.0,475.0
EE,track,1.0,10.0,200.0,per_metre_day,0.0,60.0,460.0
ES,full,1.0,148.0,148.0,per_metre_day,0.0,60.0,356.0
FI,track,1.25,10.0,247.5,per_metre_day,0.0,60.0,555.0
FR,track,1.25,10.0,247.5,per_metre_day,0.0,60.0,555.0
GR,crew,0.75,30.0,112.5,per_event,0.0,60.0,285.0
HR,track,0.75,10.0,152.5,per_metre_day,24.0,0.0,305.0
HU,full,0.75,263.0,263.0,per_metre_day,0.0,60.0,586.0
IE,track,1.25,10.0,247.5,per_metre_day,0.0,60.0,555.0
IT,track,1.0,10.0,200.0,per_event,0.0,9.99,409.99
LT,track,0.75,10.0,152.5,per_metre_day,0.0,60.0,365.0
LU,track,1.25,10.0,247.5,per_metre_day,0.0,60.0,555.0
LV,track,0.75,10.0,152.5,per_metre_day,0.0,60.0,365.0
NL,track,1.25,10.0,247.5,per_metre_day,0.0,60.0,555.0
NO,track,1.25,10.0,247.5,per_metre_day,48.0,0.0,495.0
PL,track,0.75,1.72,144.22,per_metre_day,0.0,60.0,348.44
PT,crew,1.0,24.59,134.59,per_hour,1.0,26.73,295.91
RO,track,0.75,10.0,152.5,per_metre_day,0.0,60.0,365.0
SE,track,1.25,10.0,247.5,per_metre_day,0.0,60.0,555.0
SI,track,1.0,13.27,203.27,per_event,0.0,0.0,406.54
SK,track,0.75,10.0,152.5,per_metre_day,0.0,60.0,365.0
UK,track,1.25,10.0,247.5,per_metre_day,0.0,60.0,555.0
