country_code,terrain_ascent_m_per_km,terrain_band,terrain_category_db,terrain_score,ruling_gradient_permille,double_traction_flag,route_value_overrides,network_utilisation,punctuality_ld,timetable_buffer_pct,min_dwell_min,hsr_allowed,inputs_assumed
AT,8.5,T4,Mountainous,42,27,True,True,30.61,0.814,8.32,2.0,False,
BE,1.9,T2,Hilly,10,16,False,False,30.7,0.878,7.94,2.0,False,
BG,4.5,T3,Hilly,22,25,False,False,7.85,0.867,6.42,2.0,False,
CH,9.5,T4,Mountainous,48,27,True,True,55.0,0.9,8.89,2.0,False,both
CZ,3.2,T2,Hilly,16,20,False,False,18.11,0.747,7.98,2.0,False,
DE,2.8,T2,Hilly,14,25,False,False,29.97,0.536,9.95,2.0,False,
DK,0.9,T1,Flat,4,5,False,False,31.33,0.851,8.13,2.0,False,
EE,1.0,T1,Flat,5,6,False,False,5.81,0.88,6.11,2.0,False,punctuality
ES,4.8,T3,Hilly,24,20,False,True,11.74,0.843,6.92,2.0,False,
FI,1.8,T2,Hilly,9,10,False,False,8.23,0.83,6.68,2.0,False,
FR,2.2,T2,Hilly,11,25,False,False,15.7,0.842,7.24,2.0,False,
GR,6.2,T3,Hilly,31,25,False,False,5.31,0.339,9.3,2.0,False,
HR,5.6,T3,Hilly,28,26,False,True,7.28,0.444,8.9,2.0,False,
HU,1.3,T1,Flat,6,10,False,False,14.31,0.592,8.64,2.0,False,
IE,1.6,T2,Hilly,8,12,False,False,8.67,0.9,6.3,2.0,False,punctuality
IT,5.0,T3,Hilly,25,30,True,False,24.78,0.669,8.87,2.0,False,
LT,1.1,T1,Flat,6,6,False,False,6.35,0.88,6.18,2.0,False,punctuality
LU,4.2,T3,Hilly,21,16,False,False,27.79,0.757,8.51,2.0,False,
LV,1.1,T1,Flat,6,6,False,False,5.52,0.88,6.08,2.0,False,punctuality
NL,0.6,T1,Flat,3,5,False,False,49.37,0.88,8.79,2.0,False,
NO,7.5,T3,Hilly,38,21,False,True,12.39,0.8,7.24,2.0,False,punctuality
PL,1.4,T1,Flat,7,12,False,False,13.97,0.771,7.54,2.0,False,
PT,2.5,T2,Hilly,12,25,False,True,13.36,0.534,8.91,2.0,False,
RO,3.8,T2,Hilly,19,20,False,False,5.23,0.197,10.14,2.0,False,
SE,2.6,T2,Hilly,13,17,False,False,15.53,0.712,8.01,2.0,False,
SI,7.0,T3,Hilly,35,26,False,False,18.81,0.386,10.19,2.0,False,
SK,5.2,T3,Hilly,26,20,False,False,14.2,0.746,7.7,2.0,False,
UK,3.0,T2,Hilly,15,13,False,False,38.0,0.7,9.37,2.0,False,both
