country_code,parameter,value,unit,status,source_id,locator,currency,basis_year,note,low,high
AT,b_day,0.643,EUR/train-km,sourced,AT-SNNB-2027,Tab.11 §5.3.4,EUR,2027,Personenfernverkehr,,
AT,b_night,,,missing,,,EUR,,component not documented,,
AT,congestion_surcharge_eur_km,1.6081,EUR/train-km,sourced,AT-SNNB-2027,§5.4 überlastete Schienenwege,EUR,2027,flat surcharge on declared overloaded sections; blanket application to peak-overlapping run shares is the model's conservative assumption (PEAK_BANDS),,
AT,fixed_per_train_km,,,missing,,,EUR,,component not documented,,
AT,gamma,0.002282,EUR/gross-tonne-km,sourced,AT-SNNB-2027,Tab.13 §5.3.4,EUR,2027,,,
AT,peak_multiplier,,,missing,,,EUR,,component not documented,,
AT,per_stop,,,missing,,,EUR,,component not documented,,
AT,revenue_share,,,missing,,,EUR,,component not documented,,
AT,seat_km,,,missing,,,EUR,,component not documented,,
BE,b_day,,,missing,,,EUR,,component not documented,,
BE,b_night,2.720182,EUR/train-km,derived,BE-NS-2027,App F.2 sheets 2.1.1 / 2.1.2.3,EUR,2026,direct cost 2.142772 + off-peak high-density mark-up 0.577410; density class assumed High,,
BE,congestion_surcharge_eur_km,,,missing,,,EUR,,component not documented,,
BE,fixed_per_train_km,,,missing,,,EUR,,component not documented,,
BE,gamma,,,missing,,,EUR,,component not documented,,
BE,peak_multiplier,,,missing,,,EUR,,component not documented,,
BE,per_stop,,,missing,,,EUR,,component not documented,,
BE,revenue_share,,,missing,,,EUR,,component not documented,,
BE,seat_km,,,missing,,,EUR,,component not documented,,
BG,b_day,0.2495,EUR/train-km,sourced,BG-NRIC-2026,§I,EUR,2026,,,
BG,b_night,,,missing,,,EUR,,component not documented,,
BG,congestion_surcharge_eur_km,,,missing,,,EUR,,component not documented,,
BG,fixed_per_train_km,,,missing,,,EUR,,component not documented,,
BG,gamma,0.00083,EUR/gross-tonne-km,sourced,BG-NRIC-2026,§I,EUR,2026,,,
BG,peak_multiplier,,,missing,,,EUR,,component not documented,,
BG,per_stop,,,missing,,,EUR,,component not documented,,
BG,revenue_share,,,missing,,,EUR,,component not documented,,
BG,seat_km,,,missing,,,EUR,,component not documented,,
CH,b_day,2.5,CHF/train-path-km,sourced,CH-NZV-BAV,Art.1 Anhang 1,CHF,2026,line category A; quality factor 1.0 for treaty cross-border paths,,
CH,b_night,,,missing,,,EUR,,component not documented,,
CH,congestion_surcharge_eur_km,,,missing,,,EUR,,component not documented,,
CH,fixed_per_train_km,,,missing,,,EUR,,component not documented,,
CH,gamma,0.0036,CHF/gross-tonne-km,sourced,CH-NZV-BAV,Art.1(3)(b),CHF,2026,Basispreis Verschleiss proxy for the per-vehicle formula,,
CH,peak_multiplier,2.0,factor,sourced,CH-NZV-BAV,Art.1 Anhang 1,EUR,2026,doubles the day-rate term on declared high-load sections during the commuter peak; blanket application to peak-overlapping run shares is the model's conservative assumption (PEAK_BANDS),,
CH,per_stop,2.0,CHF/stop,sourced,CH-NZV,Art.19a(4),CHF,2026,"capacity element of the path price, not a station charge — belongs here",,
CH,revenue_share,,,missing,,,EUR,,authority-set Deckungsbeitrag percentage not published; scenario parameter,,
CH,seat_km,,,missing,,,EUR,,component not documented,,
CY,b_day,,,no_railway,,,EUR,,no railway network,,
CY,b_night,,,no_railway,,,EUR,,no railway network,,
CY,congestion_surcharge_eur_km,,,no_railway,,,EUR,,no railway network,,
CY,fixed_per_train_km,,,no_railway,,,EUR,,no railway network,,
CY,gamma,,,no_railway,,,EUR,,no railway network,,
CY,peak_multiplier,,,no_railway,,,EUR,,no railway network,,
CY,per_stop,,,no_railway,,,EUR,,no railway network,,
CY,revenue_share,,,no_railway,,,EUR,,no railway network,,
CY,seat_km,,,no_railway,,,EUR,,no railway network,,
CZ,b_day,,,missing,,,EUR,,component not documented,,
CZ,b_night,,,missing,,,EUR,,component not documented,,
CZ,congestion_surcharge_eur_km,,,missing,,,EUR,,component not documented,,
CZ,fixed_per_train_km,,,missing,,,EUR,,component not documented,,
CZ,gamma,0.08163,CZK/gross-tonne-km,sourced,CZ-NS-2027,charging annex,CZK,2027,"Px=1.0 passenger; kETCS=1.0, no discount claimed",,
CZ,peak_multiplier,,,missing,,,EUR,,component not documented,,
CZ,per_stop,,,missing,,,EUR,,component not documented,,
CZ,revenue_share,,,missing,,,EUR,,component not documented,,
CZ,seat_km,,,missing,,,EUR,,component not documented,,
DE,b_day,,,missing,,,EUR,,component not documented,,
DE,b_night,2.76,EUR/train-km,assumed,DE-INB-2026,Anlage 5.3,EUR,2026,INB 2026 prints 3.33; the -17% BNetzA SPFV re-approval is applied but its decision document is not in the source set. Revert to 3.33 if it does not hold for Nacht.,2.76,3.33
DE,congestion_surcharge_eur_km,,,missing,,,EUR,,component not documented,,
DE,fixed_per_train_km,,,missing,,,EUR,,component not documented,,
DE,gamma,,,missing,,,EUR,,component not documented,,
DE,peak_multiplier,,,missing,,,EUR,,component not documented,,
DE,per_stop,,,missing,,,EUR,,component not documented,,
DE,revenue_share,,,missing,,,EUR,,component not documented,,
DE,seat_km,,,missing,,,EUR,,component not documented,,
DK,b_day,5.8,DKK/train-km,sourced,DK-BEK-2024,infrastrukturafgifter,DKK,2025,NS 2027 carries no numbers and refers to the executive order,,
DK,b_night,,,missing,,,EUR,,component not documented,,
DK,congestion_surcharge_eur_km,,,missing,,,EUR,,component not documented,,
DK,fixed_per_train_km,,,missing,,,EUR,,component not documented,,
DK,gamma,,,missing,,,EUR,,component not documented,,
DK,peak_multiplier,,,missing,,,EUR,,component not documented,,
DK,per_stop,,,missing,,,EUR,,component not documented,,
DK,revenue_share,,,missing,,,EUR,,component not documented,,
DK,seat_km,,,missing,,,EUR,,component not documented,,
EE,b_day,0.74,EUR/train-km,sourced,EE-TTJA-2026,rates table,EUR,2026,,,
EE,b_night,,,missing,,,EUR,,component not documented,,
EE,congestion_surcharge_eur_km,,,missing,,,EUR,,component not documented,,
EE,fixed_per_train_km,,,missing,,,EUR,,component not documented,,
EE,gamma,0.00299,EUR/gross-tonne-km,sourced,EE-TTJA-2026,rates table,EUR,2026,international passenger mark-up is zero,,
EE,peak_multiplier,,,missing,,,EUR,,component not documented,,
EE,per_stop,,,missing,,,EUR,,component not documented,,
EE,revenue_share,,,missing,,,EUR,,component not documented,,
EE,seat_km,,,missing,,,EUR,,component not documented,,
ES,b_day,5.3181,EUR/train-km,derived,ES-BOE-2024,Art.4,EUR,2023,"Mode A 1.6767 + Mode B 3.6414, line type A (ES-BOE-2024 Art.4); standard-gauge night trains from FR stay on the HS network",,
ES,b_night,,,missing,,,EUR,,component not documented,,
ES,congestion_surcharge_eur_km,,,missing,,,EUR,,component not documented,,
ES,fixed_per_train_km,,,missing,,,EUR,,component not documented,,
ES,gamma,,,missing,,,EUR,,component not documented,,
ES,peak_multiplier,,,missing,,,EUR,,component not documented,,
ES,per_stop,,,missing,,,EUR,,component not documented,,
ES,revenue_share,,,missing,,,EUR,,component not documented,,
ES,seat_km,0.022014,EUR/seat-km,sourced,ES-BOE-2024,Art.5,EUR,2023,"Madrid-Barcelona-Frontera surcharge, 2.2014 EUR per 100 seat-km",,
FI,b_day,,,missing,,,EUR,,component not documented,,
FI,b_night,,,missing,,,EUR,,component not documented,,
FI,congestion_surcharge_eur_km,,,missing,,,EUR,,component not documented,,
FI,fixed_per_train_km,,,missing,,,EUR,,component not documented,,
FI,gamma,0.002054,EUR/gross-tonne-km,sourced,FI-NS-2027,Tab.2 §5.3,EUR,2027,electric-supply-equipment charge excluded as energy,,
FI,peak_multiplier,,,missing,,,EUR,,component not documented,,
FI,per_stop,,,missing,,,EUR,,component not documented,,
FI,revenue_share,,,missing,,,EUR,,component not documented,,
FI,seat_km,,,missing,,,EUR,,component not documented,,
FR,b_day,0.657,EUR/train-km,sourced,FR-DRR-2027-A52,App 5.2.2 UIC 2-6,EUR,2027,,,
FR,b_night,,,missing,,,EUR,,component not documented,,
FR,congestion_surcharge_eur_km,,,missing,,,EUR,,component not documented,,
FR,fixed_per_train_km,,,missing,,,EUR,,component not documented,,
FR,gamma,0.005705,EUR/gross-tonne-km,sourced,FR-DRR-2027-A52,App 5.2.2 UIC 2-6,EUR,2027,published as 5.705 EUR per 1000 CGT-km; RM shows '-' for night trains,,
FR,peak_multiplier,,,missing,,,EUR,,component not documented,,
FR,per_stop,,,missing,,,EUR,,component not documented,,
FR,revenue_share,,,missing,,,EUR,,component not documented,,
FR,seat_km,,,missing,,,EUR,,component not documented,,
GR,b_day,1.897,EUR/train-km,derived,GR-OSE-2026,ch.6,EUR,2019,2.64 x 1.1975 inflation x 0.60 recovery,,
GR,b_night,,,missing,,,EUR,,component not documented,,
GR,congestion_surcharge_eur_km,,,missing,,,EUR,,component not documented,,
GR,fixed_per_train_km,,,missing,,,EUR,,component not documented,,
GR,gamma,0.004024,EUR/gross-tonne-km,derived,GR-OSE-2026,ch.6,EUR,2019,0.00560 x 1.1975 x 0.60,,
GR,peak_multiplier,,,missing,,,EUR,,component not documented,,
GR,per_stop,,,missing,,,EUR,,component not documented,,
GR,revenue_share,,,missing,,,EUR,,component not documented,,
GR,seat_km,,,missing,,,EUR,,component not documented,,
HR,b_day,2.154,EUR/train-km,derived,HR-NS-2027,§5.3,EUR,2027,T 2.10 (EuroNight) x L1 1.90 x Cvlkm 0.54; L1 assumed for international mainlines,,
HR,b_night,,,missing,,,EUR,,component not documented,,
HR,congestion_surcharge_eur_km,,,missing,,,EUR,,component not documented,,
HR,fixed_per_train_km,,,missing,,,EUR,,component not documented,,
HR,gamma,,,missing,,,EUR,,component not documented,,
HR,peak_multiplier,,,missing,,,EUR,,component not documented,,
HR,per_stop,,,missing,,,EUR,,component not documented,,
HR,revenue_share,,,missing,,,EUR,,component not documented,,
HR,seat_km,,,missing,,,EUR,,component not documented,,
HU,b_day,1143.0,HUF/train-km,sourced,HU-NS-2627,Annex 5.2-6,HUF,2027,path ensuring 9 + track category I passenger rate 1134,,
HU,b_night,,,missing,,,EUR,,component not documented,,
HU,congestion_surcharge_eur_km,,,missing,,,EUR,,component not documented,,
HU,fixed_per_train_km,,,missing,,,EUR,,component not documented,,
HU,gamma,1.05,HUF/gross-tonne-km,sourced,HU-NS-2627,Annex 5.2-6,HUF,2027,,,
HU,peak_multiplier,,,missing,,,EUR,,component not documented,,
HU,per_stop,,,missing,,,EUR,,component not documented,,
HU,revenue_share,,,missing,,,EUR,,component not documented,,
HU,seat_km,,,missing,,,EUR,,component not documented,,
IE,b_day,1.9268,EUR/train-km,sourced,IE-NS-2027,ch.6.2/6.3,EUR,2027,fixed track access charge is franchise-only,,
IE,b_night,,,missing,,,EUR,,component not documented,,
IE,congestion_surcharge_eur_km,,,missing,,,EUR,,component not documented,,
IE,fixed_per_train_km,,,missing,,,EUR,,component not documented,,
IE,gamma,,,missing,,,EUR,,component not documented,,
IE,peak_multiplier,,,missing,,,EUR,,component not documented,,
IE,per_stop,,,missing,,,EUR,,component not documented,,
IE,revenue_share,,,missing,,,EUR,,component not documented,,
IE,seat_km,,,missing,,,EUR,,component not documented,,
IT,b_day,0.185,EUR/train-km,sourced,IT-LISTINO,Component A flat term,EUR,2027,,,
IT,b_night,2.31,EUR/train-km,sourced,IT-LISTINO,Component B Basic FOND Standard Notturno,EUR,2027,"night band assumed 22:00-06:00, not confirmed in the Listino",,
IT,congestion_surcharge_eur_km,,,missing,,,EUR,,component not documented,,
IT,fixed_per_train_km,,,missing,,,EUR,,component not documented,,
IT,gamma,0.002707,EUR/gross-tonne-km,sourced,IT-LISTINO,Component A speed class 150-175,EUR,2027,speed class taken from route average speed at runtime,,
IT,peak_multiplier,,,missing,,,EUR,,component not documented,,
IT,per_stop,,,missing,,,EUR,,component not documented,,
IT,revenue_share,,,missing,,,EUR,,component not documented,,
IT,seat_km,,,missing,,,EUR,,component not documented,,
LT,b_day,,,missing,,,EUR,,component not documented,,
LT,b_night,,,missing,,,EUR,,component not documented,,
LT,congestion_surcharge_eur_km,,,missing,,,EUR,,component not documented,,
LT,fixed_per_train_km,,,missing,,,EUR,,component not documented,,
LT,gamma,0.0012,EUR/gross-tonne-km,sourced,LT-LTG-2627,tariff decision §5.3.2,EUR,2027,,,
LT,peak_multiplier,,,missing,,,EUR,,component not documented,,
LT,per_stop,,,missing,,,EUR,,component not documented,,
LT,revenue_share,,,missing,,,EUR,,component not documented,,
LT,seat_km,,,missing,,,EUR,,component not documented,,
LU,b_day,3.333,EUR/train-km,derived,LU-NS-2027,§5.3.2,EUR,2026,cC 2.771 x alpha 1.1615 (>8 bodies) x beta 1.0355,,
LU,b_night,,,missing,,,EUR,,component not documented,,
LU,congestion_surcharge_eur_km,,,missing,,,EUR,,component not documented,,
LU,fixed_per_train_km,0.05,EUR/train-km,sourced,LU-NS-2027,§5.3.2,EUR,2026,path administration on a regular timetable path,,
LU,gamma,,,missing,,,EUR,,component not documented,,
LU,peak_multiplier,,,missing,,,EUR,,component not documented,,
LU,per_stop,,,missing,,,EUR,,component not documented,,
LU,revenue_share,,,missing,,,EUR,,component not documented,,
LU,seat_km,,,missing,,,EUR,,component not documented,,
LV,b_day,1.3,EUR/train-km,sourced,LV-NS-2027,§5.2,EUR,2026,international passenger within the EEA,,
LV,b_night,,,missing,,,EUR,,component not documented,,
LV,congestion_surcharge_eur_km,,,missing,,,EUR,,component not documented,,
LV,fixed_per_train_km,,,missing,,,EUR,,component not documented,,
LV,gamma,0.00106848,EUR/gross-tonne-km,sourced,LV-NS-2027,§5.2,EUR,2026,,,
LV,peak_multiplier,,,missing,,,EUR,,component not documented,,
LV,per_stop,,,missing,,,EUR,,component not documented,,
LV,revenue_share,,,missing,,,EUR,,component not documented,,
LV,seat_km,,,missing,,,EUR,,component not documented,,
MT,b_day,,,no_railway,,,EUR,,no railway network,,
MT,b_night,,,no_railway,,,EUR,,no railway network,,
MT,congestion_surcharge_eur_km,,,no_railway,,,EUR,,no railway network,,
MT,fixed_per_train_km,,,no_railway,,,EUR,,no railway network,,
MT,gamma,,,no_railway,,,EUR,,no railway network,,
MT,peak_multiplier,,,no_railway,,,EUR,,no railway network,,
MT,per_stop,,,no_railway,,,EUR,,no railway network,,
MT,revenue_share,,,no_railway,,,EUR,,no railway network,,
MT,seat_km,,,no_railway,,,EUR,,no railway network,,
NL,b_day,2.2252,EUR/train-km,sourced,NL-NS-2027,"train path service, class 601-3200 t",EUR,2027,weight class resolved from composition at runtime; all mark-ups are zero,,
NL,b_night,,,missing,,,EUR,,component not documented,,
NL,congestion_surcharge_eur_km,,,missing,,,EUR,,component not documented,,
NL,fixed_per_train_km,,,missing,,,EUR,,component not documented,,
NL,gamma,,,missing,,,EUR,,component not documented,,
NL,peak_multiplier,,,missing,,,EUR,,component not documented,,
NL,per_stop,,,missing,,,EUR,,component not documented,,
NL,revenue_share,,,missing,,,EUR,,component not documented,,
NL,seat_km,,,missing,,,EUR,,component not documented,,
NO,b_day,9.94,NOK/train-km,sourced,NO-NS-2027,Tab.4 §5.3.3,NOK,2026,"non-Oslo rate applied uniformly, conservative",,
NO,b_night,,,missing,,,EUR,,component not documented,,
NO,congestion_surcharge_eur_km,,,missing,,,EUR,,component not documented,,
NO,fixed_per_train_km,,,missing,,,EUR,,component not documented,,
NO,gamma,,,missing,,,EUR,,component not documented,,
NO,peak_multiplier,,,missing,,,EUR,,component not documented,,
NO,per_stop,,,missing,,,EUR,,component not documented,,
NO,revenue_share,,,missing,,,EUR,,component not documented,,
NO,seat_km,,,missing,,,EUR,,component not documented,,
PL,b_day,8.01,PLN/train-km,sourced,PL-PLK-A91,Annex 9.1 SMK,PLN,2027,"x WM(mass) x WK(line category), both 1.0 for NT-REF",,
PL,b_night,,,missing,,,EUR,,component not documented,,
PL,congestion_surcharge_eur_km,,,missing,,,EUR,,component not documented,,
PL,fixed_per_train_km,,,missing,,,EUR,,component not documented,,
PL,gamma,,,missing,,,EUR,,component not documented,,
PL,peak_multiplier,,,missing,,,EUR,,component not documented,,
PL,per_stop,,,missing,,,EUR,,component not documented,,
PL,revenue_share,,,missing,,,EUR,,component not documented,,
PL,seat_km,,,missing,,,EUR,,component not documented,,
PT,b_day,2.55,EUR/train-km,sourced,PT-IP-2027,§5.3 cat A Regular/Peak electric,EUR,2027,,,
PT,b_night,2.16,EUR/train-km,sourced,PT-IP-2027,§5.3 cat A Low electric,EUR,2027,,,
PT,congestion_surcharge_eur_km,,,missing,,,EUR,,component not documented,,
PT,fixed_per_train_km,,,missing,,,EUR,,component not documented,,
PT,gamma,,,missing,,,EUR,,component not documented,,
PT,peak_multiplier,,,missing,,,EUR,,component not documented,,
PT,per_stop,,,missing,,,EUR,,component not documented,,
PT,revenue_share,,,missing,,,EUR,,component not documented,,
PT,seat_km,,,missing,,,EUR,,component not documented,,
RO,b_day,13.22,RON/train-km,derived,RO-CFR-A25,Annex 25.a,RON,2024,"Tc 9.562 + Ttsn 3.45 x [1 + (m-60) x 0.00014] at 600 t, class A; reproduces the worked example in Annex 26.a exactly",,
RO,b_night,,,missing,,,EUR,,component not documented,,
RO,congestion_surcharge_eur_km,,,missing,,,EUR,,component not documented,,
RO,fixed_per_train_km,,,missing,,,EUR,,component not documented,,
RO,gamma,,,missing,,,EUR,,component not documented,,
RO,peak_multiplier,,,missing,,,EUR,,component not documented,,
RO,per_stop,,,missing,,,EUR,,component not documented,,
RO,revenue_share,,,missing,,,EUR,,component not documented,,
RO,seat_km,,,missing,,,EUR,,component not documented,,
SE,b_day,4.98,SEK/train-km,sourced,SE-NS-2027,Annex 1B,SEK,2027,,,
SE,b_night,,,missing,,,EUR,,component not documented,,
SE,congestion_surcharge_eur_km,,,missing,,,EUR,,component not documented,,
SE,fixed_per_train_km,,,missing,,,EUR,,component not documented,,
SE,gamma,0.0218,SEK/gross-tonne-km,sourced,SE-NS-2027,Annex 1B,SEK,2027,"passenger, mean axle load <=17 t",,
SE,peak_multiplier,,,missing,,,EUR,,component not documented,,
SE,per_stop,,,missing,,,EUR,,component not documented,,
SE,revenue_share,,,missing,,,EUR,,component not documented,,
SE,seat_km,,,missing,,,EUR,,component not documented,,
SI,b_day,2.41,EUR/train-km,derived,SI-NS-2027,§5.3,EUR,2027,C_P1 2.01 x PP 1.44 (R4) x PD 1.05 x PM 0.75 x PV 0.97 x Pl 1.09; ETCS incentive not claimed,,
SI,b_night,,,missing,,,EUR,,component not documented,,
SI,congestion_surcharge_eur_km,,,missing,,,EUR,,component not documented,,
SI,fixed_per_train_km,,,missing,,,EUR,,component not documented,,
SI,gamma,,,missing,,,EUR,,component not documented,,
