country_code,night_mode,night_band_start,night_band_end,night_full_if_accommodation
AT,none,,,False
BE,time_band,19:00,05:59,False
BG,none,,,False
CH,none,,,False
CY,none,,,False
CZ,none,,,False
DE,time_band,23:00,06:00,True
DK,none,,,False
EE,none,,,False
ES,none,,,False
FI,none,,,False
FR,none,,,False
GR,none,,,False
HR,none,,,False
HU,none,,,False
IE,none,,,False
IT,time_band,22:00,06:00,False
LT,none,,,False
LU,none,,,False
LV,none,,,False
MT,none,,,False
NL,none,,,False
NO,none,,,False
PL,none,,,False
PT,time_band,20:45,06:00,False
RO,none,,,False
SE,none,,,False
SI,none,,,False
SK,none,,,False
UK,none,,,False
