country_code,n_legs,routed_km,routed_model_min,implied_buffer_min,implied_quota_pct,median_leg_pct,p25_leg_pct,p75_leg_pct,applied_buffer_pct
AT,56,3600.8,2130.3,674.8,31.7,21.2,9.1,40.9,35.6
BE,7,408.7,224.9,115.3,51.3,51.7,33.3,55.8,45.3
BG,7,660.5,543.0,332.5,61.2,60.7,30.3,135.9,40.0
CH,13,791.4,469.0,236.1,50.3,33.3,17.6,66.7,31.1
CZ,24,2451.5,1295.6,579.4,44.7,29.5,18.9,79.3,39.6
DE,110,16629.9,7977.2,3891.7,48.8,37.6,18.4,59.7,49.8
DK,7,964.2,419.1,247.4,59.0,51.1,45.1,56.7,42.3
FR,26,7182.8,3207.7,2513.1,78.3,56.8,38.5,82.0,40.1
GB,15,3194.6,1586.0,1103.0,69.5,73.6,48.3,90.7,39.8
HR,12,1177.7,1069.8,360.5,33.7,37.9,29.5,46.5,39.6
HU,6,378.3,240.4,65.5,27.2,25.7,20.0,39.8,39.6
IT,46,8541.3,3915.3,2124.9,54.3,49.2,20.0,65.8,40.1
NL,13,671.1,361.6,128.5,35.5,42.9,33.3,52.3,40.8
NO,3,860.5,589.0,190.0,32.3,32.6,31.0,63.6,39.7
PL,58,8872.2,4552.2,2643.6,58.1,42.2,21.7,77.9,40.0
RO,31,4002.3,3017.0,1631.5,54.1,54.0,35.1,91.9,39.7
SE,16,2966.5,1354.4,1064.1,78.6,65.3,41.7,110.9,40.0
SI,8,1073.8,768.6,416.3,54.2,54.0,39.8,92.6,39.4
SK,5,779.8,434.5,173.2,39.9,26.3,23.8,47.8,39.7
