stop_id,stop_name,station_printed,country_code,charge_excl_vat_eur,vat_rate_per,charge_incl_vat_eur,basis,price_basis_year,tariff_class,source_ref,note
osm:n3070631211,Aachen Hauptbahnhof,Aachen Hbf,DE,49.71,19.0,59.15,per_call,2026,Preisklasse 2,DE-DB-SPL-2026,SPFV share; SPNV share 17.28 EUR not used: regional traffic
osm:n30717143,Aschaffenburg Hbf,Aschaffenburg Hbf,DE,40.58,19.0,48.29,per_call,2026,Preisklasse 2,DE-DB-SPL-2026,SPFV share; SPNV share 14.13 EUR not used: regional traffic
osm:n1058668074,Augsburg Hauptbahnhof,Augsburg Hbf,DE,40.58,19.0,48.29,per_call,2026,Preisklasse 2,DE-DB-SPL-2026,SPFV share; SPNV share 14.13 EUR not used: regional traffic
osm:n620379882,Bad Oldesloe,Bad Oldesloe,DE,78.25,19.0,93.12,per_call,2026,Preisklasse 2,DE-DB-SPL-2026,SPFV share; SPNV share 27.18 EUR not used: regional traffic
osm:n2736023837,Bad Schandau,Bad Schandau,DE,7.53,19.0,8.96,per_call,2026,Preisklasse 4,DE-DB-SPL-2026,SPFV share; SPNV share 2.61 EUR not used: regional traffic
osm:n2835627177,Bamberg,Bamberg,DE,40.58,19.0,48.29,per_call,2026,Preisklasse 2,DE-DB-SPL-2026,SPFV share; SPNV share 14.13 EUR not used: regional traffic
osm:n31485922,Bayreuth Hbf,Bayreuth Hbf,DE,13.92,19.0,16.56,per_call,2026,Preisklasse 3,DE-DB-SPL-2026,SPFV share; SPNV share 4.90 EUR not used: regional traffic
osm:n459277140,Berlin Gesundbrunnen,Berlin Gesundbrunnen,DE,55.96,19.0,66.59,per_call,2026,Preisklasse 1,DE-DB-SPL-2026,SPFV share; SPNV share 19.45 EUR not used: regional traffic
osm:n3856100103,Berlin Hauptbahnhof,Berlin Hauptbahnhof,DE,55.96,19.0,66.59,per_call,2026,Preisklasse 1,DE-DB-SPL-2026,SPFV share; SPNV share 19.45 EUR not used: regional traffic
osm:n3419894993,Berlin Ostbahnhof,Berlin Ostbahnhof,DE,55.96,19.0,66.59,per_call,2026,Preisklasse 1,DE-DB-SPL-2026,SPFV share; SPNV share 19.45 EUR not used: regional traffic
osm:n267379240,Berlin Südkreuz,Berlin Südkreuz,DE,55.96,19.0,66.59,per_call,2026,Preisklasse 1,DE-DB-SPL-2026,SPFV share; SPNV share 19.45 EUR not used: regional traffic
osm:n29805967,Berlin-Lichtenberg,Berlin-Lichtenberg,DE,28.72,19.0,34.18,per_call,2026,Preisklasse 2,DE-DB-SPL-2026,SPFV share; SPNV share 9.98 EUR not used: regional traffic
osm:n3101920259,Berlin-Spandau,Berlin-Spandau,DE,28.72,19.0,34.18,per_call,2026,Preisklasse 2,DE-DB-SPL-2026,SPFV share; SPNV share 9.98 EUR not used: regional traffic
osm:n1874501382,Bielefeld Hauptbahnhof,Bielefeld Hbf,DE,39.98,19.0,47.58,per_call,2026,Preisklasse 2,DE-DB-SPL-2026,SPFV share; SPNV share 13.94 EUR not used: regional traffic
osm:w169962296,Bonn Hauptbahnhof,Bonn Hbf,DE,49.71,19.0,59.15,per_call,2026,Preisklasse 2,DE-DB-SPL-2026,SPFV share; SPNV share 17.28 EUR not used: regional traffic
osm:n1271017705,Bonn-Beuel,Bonn-Beuel,DE,7.51,19.0,8.94,per_call,2026,Preisklasse 4,DE-DB-SPL-2026,SPFV share; SPNV share 2.69 EUR not used: regional traffic
osm:w24806780,Braunschweig Hauptbahnhof,Braunschweig Hbf,DE,57.51,19.0,68.44,per_call,2026,Preisklasse 2,DE-DB-SPL-2026,SPFV share; SPNV share 19.48 EUR not used: regional traffic
