name,search_name,osm_stop_id,lat,lon,coord_source,region,country,reason,infra_versions,note,decision
Valga,Valga,,57.77483,26.04966,corrected,BALTICS,EE,border,infra-2026;infra-2032,EE/LV border station (Valga/Valka),add
Karaman,Karaman,,37.1862,33.2204,corrected,EASTERN_EUROPE,TR,network,infra-2026;infra-2032,Konya-Adana line,add
Alexandroupoli Port,Αλεξανδρούπολη,,40.849,25.874,corrected,SOUTH_EASTERN_EUROPE,GR,fua:Alexandroupoli,infra-2026;infra-2032,port station; OSM names Greek stations in Greek,add
Kiato,Κιάτο,,38.014026,22.73498,corrected,SOUTH_EASTERN_EUROPE,GR,network,infra-2026;infra-2032,Piraeus-Patras line,add
Korinthos,Κόρινθος,,37.9214,22.932,corrected,SOUTH_EASTERN_EUROPE,GR,network,infra-2026;infra-2032,Piraeus-Patras line,add
Diakopto,Διακοπτό,,38.191,22.197,corrected,SOUTH_EASTERN_EUROPE,GR,network,infra-2026;infra-2032,Piraeus-Patras line; interchange to the Kalavryta rack railway,add
Kalambaka,Καλαμπάκα,,39.703,21.625,corrected,SOUTH_EASTERN_EUROPE,GR,tourism:Meteora,infra-2026;infra-2032,,add
Dimitrovgrad,Димитровград,,43.011,22.764,corrected,SOUTH_EASTERN_EUROPE,RS,border,infra-2026;infra-2032,RS/BG border station; not the Bulgarian Dimitrovgrad,add
Blagoevgrad,Благоевград,,42.013,23.085,corrected,SOUTH_EASTERN_EUROPE,BG,network,infra-2026;infra-2032,Sofia-Thessaloniki line,add
Vidin,Видин,,43.972,22.848,corrected,SOUTH_EASTERN_EUROPE,BG,border,infra-2026;infra-2032,"BG/RO border station at the Danube bridge; sent as 'Vidin tovarna', so check which object step 6a picks",add
Shkodër,Shkodër,,42.061,19.527,corrected,SOUTH_EASTERN_EUROPE,AL,fua:Shkodër,infra-2032,on the Tirane line being rebuilt; 2032 only,add
