name,search_name,osm_stop_id,lat,lon,coord_source,region,country,reason,infra_versions,note,decision
Frankfurt (Main) Hauptbahnhof,Frankfurt (Main) Hauptbahnhof,osm:n205364328,50.10682,8.663003,schedule,GERMANY,DE,fua:Frankfurt am Main,infra-2026;infra-2032,hidden by the 2 km check: Süd is 1.8 km away. THE main station.; id from charges/sources/de_station_charges.csv (old catalog id),add
Berlin Gesundbrunnen,Gesundbrunnen,osm:n459277140,52.548784,13.388721,schedule,GERMANY,DE,network,infra-2026;infra-2032,removed 2026-08-24 as duplicate of step 5; step 5 lost it 2026-08-28; id from charges/sources/de_station_charges.csv (old catalog id),add
Berlin Ostbahnhof,Ostbahnhof,osm:n3419894993,52.51101,13.43461,schedule,GERMANY,DE,network,infra-2026;infra-2032,Berlin already has Hbf/Südkreuz qualified; second-tier Berlin stations are corridor stations; id from charges/sources/de_station_charges.csv (old catalog id),add
Berlin-Lichtenberg,Lichtenberg,osm:n29805967,52.50955,13.49711,schedule,GERMANY,DE,network,infra-2026;infra-2032,eastbound terminus (Warszawa/Kyiv trains); id from charges/sources/de_station_charges.csv (old catalog id),add
Berlin-Spandau,Spandau,osm:n3101920259,52.53456,13.19788,schedule,GERMANY,DE,network,infra-2026;infra-2032,westbound stop of Berlin–NRW/Paris trains; id from charges/sources/de_station_charges.csv (old catalog id),add
Köln Messe/Deutz,Messe/Deutz,osm:n74880878,50.9413,6.975,corrected,GERMANY,DE,network,infra-2026;infra-2032,"HSL-side station; Köln Hbf 1.1 km — distinct station, tracks not shared; id from charges/sources/de_station_charges.csv (old catalog id)",add
Dortmund Hauptbahnhof,Dortmund Hauptbahnhof,osm:n1458488633,51.51724,7.45918,schedule,GERMANY,DE,fua:Dortmund,infra-2026;infra-2032,id from charges/sources/de_station_charges.csv (old catalog id),add
Lübeck Hauptbahnhof,Lübeck Hauptbahnhof,osm:n25149874,53.8671,10.670571,schedule,GERMANY,DE,fua:Lübeck,infra-2026;infra-2032,id from charges/sources/de_station_charges.csv (old catalog id),add
Regensburg Hauptbahnhof,Regensburg Hauptbahnhof,osm:n2703868858,49.01403,12.10001,schedule,GERMANY,DE,fua:Regensburg,infra-2026;infra-2032,id from charges/sources/de_station_charges.csv (old catalog id),add
Bamberg,Bamberg,osm:n2835627177,49.90054,10.898915,schedule,GERMANY,DE,fua:Bamberg,infra-2026;infra-2032,id from charges/sources/de_station_charges.csv (old catalog id),add
Gießen,Gießen,osm:n2821098770,50.57997,8.662928,schedule,GERMANY,DE,fua:Gießen,infra-2026;infra-2032,id from charges/sources/de_station_charges.csv (old catalog id),add
Siegen,Siegen,osm:n269763316,50.87607,8.016816,schedule,GERMANY,DE,fua:Siegen,infra-2026;infra-2032,id from charges/sources/de_station_charges.csv (old catalog id),add
Mönchengladbach Hauptbahnhof,Mönchengladbach Hauptbahnhof,osm:n2631683231,51.19692,6.445413,schedule,GERMANY,DE,fua:Mönchengladbach,infra-2026;infra-2032,id from charges/sources/de_station_charges.csv (old catalog id),add
Siegburg/Bonn,Siegburg,osm:n35879657,50.794,7.2035,corrected,GERMANY,DE,network,infra-2026;infra-2032,ICE station on the Köln–Rhein/Main HSL; Bonn Hbf is on the classic line. Export coordinate 2.7 km off; corrected. id from charges/sources/de_station_charges.csv,add
Passau Hauptbahnhof,Passau Hauptbahnhof,osm:n14334692,48.57433,13.451643,schedule,GERMANY,DE,border,infra-2026;infra-2032,DE/AT; id from charges/sources/de_station_charges.csv (old catalog id),add
Frankfurt (Oder),Frankfurt (Oder),osm:n321555238,52.33586,14.54707,schedule,GERMANY,DE,border,infra-2026;infra-2032,DE/PL; id from charges/sources/de_station_charges.csv (old catalog id),add
Wittenberge,Wittenberge,osm:n3620887012,53.00204,11.7629,schedule,GERMANY,DE,network,infra-2026;infra-2032,Berlin–Hamburg junction; id from charges/sources/de_station_charges.csv (old catalog id),add
Bad Oldesloe,Bad Oldesloe,osm:n620379882,53.80763,10.382256,schedule,GERMANY,DE,network,infra-2026;infra-2032,Hamburg–Lübeck line; id from charges/sources/de_station_charges.csv (old catalog id),add
