country_code,timetable_buffer_theory_pct,basis,source_id,note
AT,8.32,derived,RMMS-9,4.0 + 2.5 x sqrt(30.61 / 18.67) + 6.0 x (1 - 0.814) = 3.20 + 1.12 + base
BE,7.94,derived,RMMS-9,4.0 + 2.5 x sqrt(30.7 / 18.67) + 6.0 x (1 - 0.878) = 3.21 + 0.73 + base
BG,6.42,derived,RMMS-9,4.0 + 2.5 x sqrt(7.85 / 18.67) + 6.0 x (1 - 0.867) = 1.62 + 0.80 + base
CH,8.89,derived,RMMS-9,4.0 + 2.5 x sqrt(55.0 / 18.67) + 6.0 x (1 - 0.9) = 4.29 + 0.60 + base
CZ,7.98,derived,RMMS-9,4.0 + 2.5 x sqrt(18.11 / 18.67) + 6.0 x (1 - 0.747) = 2.46 + 1.52 + base
DE,9.95,derived,RMMS-9,4.0 + 2.5 x sqrt(29.97 / 18.67) + 6.0 x (1 - 0.536) = 3.17 + 2.78 + base
DK,8.13,derived,RMMS-9,4.0 + 2.5 x sqrt(31.33 / 18.67) + 6.0 x (1 - 0.851) = 3.24 + 0.89 + base
EE,6.11,derived,RMMS-9,4.0 + 2.5 x sqrt(5.81 / 18.67) + 6.0 x (1 - 0.88) = 1.39 + 0.72 + base
ES,6.92,derived,RMMS-9,4.0 + 2.5 x sqrt(11.74 / 18.67) + 6.0 x (1 - 0.843) = 1.98 + 0.94 + base
FI,6.68,derived,RMMS-9,4.0 + 2.5 x sqrt(8.23 / 18.67) + 6.0 x (1 - 0.83) = 1.66 + 1.02 + base
FR,7.24,derived,RMMS-9,4.0 + 2.5 x sqrt(15.7 / 18.67) + 6.0 x (1 - 0.842) = 2.29 + 0.95 + base
GR,9.3,derived,RMMS-9,4.0 + 2.5 x sqrt(5.31 / 18.67) + 6.0 x (1 - 0.339) = 1.33 + 3.97 + base
HR,8.9,derived,RMMS-9,4.0 + 2.5 x sqrt(7.28 / 18.67) + 6.0 x (1 - 0.444) = 1.56 + 3.34 + base
HU,8.64,derived,RMMS-9,4.0 + 2.5 x sqrt(14.31 / 18.67) + 6.0 x (1 - 0.592) = 2.19 + 2.45 + base
IE,6.3,derived,RMMS-9,4.0 + 2.5 x sqrt(8.67 / 18.67) + 6.0 x (1 - 0.9) = 1.70 + 0.60 + base
IT,8.87,derived,RMMS-9,4.0 + 2.5 x sqrt(24.78 / 18.67) + 6.0 x (1 - 0.669) = 2.88 + 1.99 + base
LT,6.18,derived,RMMS-9,4.0 + 2.5 x sqrt(6.35 / 18.67) + 6.0 x (1 - 0.88) = 1.46 + 0.72 + base
LU,8.51,derived,RMMS-9,4.0 + 2.5 x sqrt(27.79 / 18.67) + 6.0 x (1 - 0.757) = 3.05 + 1.46 + base
LV,6.08,derived,RMMS-9,4.0 + 2.5 x sqrt(5.52 / 18.67) + 6.0 x (1 - 0.88) = 1.36 + 0.72 + base
NL,8.79,derived,RMMS-9,4.0 + 2.5 x sqrt(49.37 / 18.67) + 6.0 x (1 - 0.88) = 4.07 + 0.72 + base
NO,7.24,derived,RMMS-9,4.0 + 2.5 x sqrt(12.39 / 18.67) + 6.0 x (1 - 0.8) = 2.04 + 1.20 + base
PL,7.54,derived,RMMS-9,4.0 + 2.5 x sqrt(13.97 / 18.67) + 6.0 x (1 - 0.771) = 2.16 + 1.37 + base
PT,8.91,derived,RMMS-9,4.0 + 2.5 x sqrt(13.36 / 18.67) + 6.0 x (1 - 0.534) = 2.11 + 2.80 + base
RO,10.14,derived,RMMS-9,4.0 + 2.5 x sqrt(5.23 / 18.67) + 6.0 x (1 - 0.197) = 1.32 + 4.82 + base
SE,8.01,derived,RMMS-9,4.0 + 2.5 x sqrt(15.53 / 18.67) + 6.0 x (1 - 0.712) = 2.28 + 1.73 + base
SI,10.19,derived,RMMS-9,4.0 + 2.5 x sqrt(18.81 / 18.67) + 6.0 x (1 - 0.386) = 2.51 + 3.68 + base
SK,7.7,derived,RMMS-9,4.0 + 2.5 x sqrt(14.2 / 18.67) + 6.0 x (1 - 0.746) = 2.18 + 1.52 + base
UK,9.37,derived,RMMS-9,4.0 + 2.5 x sqrt(38.0 / 18.67) + 6.0 x (1 - 0.7) = 3.57 + 1.80 + base
